ticker,exchange,sector,industry,state_val,city,lat,lon,rpt_year,revenue_scaled,income_tax_scaled,net_income_scaled,market_cap,median_hh_income
ALB,NYSE,Materials,Specialty Chemicals,NC,Charlotte,35.15522,-80.83754,2018,3375000000,145000000,694000000,8400630000,53369
ALB,NYSE,Materials,Specialty Chemicals,NC,Charlotte,35.15522,-80.83754,2019,3589000000,88000000,533000000,7742240000,54602
ALGN,NASDAQ,Health Care,Health Care Supplies,CA,San Jose,37.38986,-121.93604,2015,852000000,42000000,144000000,5399700000,63636
ALGN,NASDAQ,Health Care,Health Care Supplies,CA,San Jose,37.38986,-121.93604,2016,1080000000,51000000,190000000,7786530000,66637
ALGN,NASDAQ,Health Care,Health Care Supplies,CA,San Jose,37.38986,-121.93604,2017,1473000000,130000000,231000000,18219580000,69759
ALGN,NASDAQ,Health Care,Health Care Supplies,CA,San Jose,37.38986,-121.93604,2018,1966000000,58000000,400000000,16963830000,70489
ALGN,NASDAQ,Health Care,Health Care Supplies,CA,San Jose,37.38986,-121.93604,2019,2407000000,112000000,443000000,22323200000,75235
ALK,NYSE,Industrials,Airlines,WA,Seattle,47.6032,-122.3303,2015,5598000000,464000000,848000000,10385790000,67243
ALK,NYSE,Industrials,Airlines,WA,Seattle,47.6032,-122.3303,2016,5931000000,531000000,814000000,11002520000,70310
ALK,NYSE,Industrials,Airlines,WA,Seattle,47.6032,-122.3303,2017,7894000000,199000000,960000000,9115240000,75418
ALK,NYSE,Industrials,Airlines,WA,Seattle,47.6032,-122.3303,2018,8264000000,148000000,437000000,7545400000,79726
ALK,NYSE,Industrials,Airlines,WA,Seattle,47.6032,-122.3303,2019,8781000000,247000000,769000000,8401000000,73775
ALL,NYSE,Financials,Property & Casualty Insurance,IL,Northbrook,42.108532,-87.8764,2015,35653000000,1111000000,2168000000,25270630000,60413
ALL,NYSE,Financials,Property & Casualty Insurance,IL,Northbrook,42.108532,-87.8764,2016,36534000000,877000000,1872000000,27943240000,61386
